Task,Comparison,Samples,p50 Max Abs,p95 Max Abs,p99 Max Abs,Max Abs
Keplerian Single,Orekit vs GMAT,200,1.55 m,3.56 m,4.12 m,4.89 m
Keplerian Single,Orekit vs Nyx,200,0.057 m,0.143 m,0.177 m,0.238 m
Keplerian Single,Orekit vs Brahe (Python),200,11 nm,63 nm,89 nm,117 nm
Keplerian Single,Orekit vs Brahe (Rust),200,15 nm,76 nm,117 nm,189 nm
Keplerian Trajectory,Orekit vs GMAT,200,0.520 m,0.738 m,0.779 m,0.842 m
Keplerian Trajectory,Orekit vs Nyx,200,0.013 m,0.016 m,0.016 m,0.016 m
Keplerian Trajectory,Orekit vs Brahe (Python),200,2.8 nm,10 nm,14 nm,16 nm
Keplerian Trajectory,Orekit vs Brahe (Rust),200,3.3 nm,13 nm,16 nm,22 nm
SGP4 Single,Orekit vs GMAT,200,0.435 m,0.538 m,0.553 m,0.559 m
SGP4 Single,Orekit vs Nyx,200,18.9 m,44.0 m,52.7 m,54.4 m
SGP4 Single,Orekit vs Brahe (Python),200,18.9 m,44.0 m,52.7 m,54.4 m
SGP4 Single,Orekit vs Brahe (Rust),200,18.9 m,44.0 m,52.7 m,54.4 m
SGP4 Trajectory,Orekit vs GMAT,200,0.394 m,0.513 m,0.543 m,0.552 m
SGP4 Trajectory,Orekit vs Nyx,200,32.7 m,74.2 m,85.5 m,94.8 m
SGP4 Trajectory,Orekit vs Brahe (Python),200,32.7 m,74.2 m,85.5 m,94.8 m
SGP4 Trajectory,Orekit vs Brahe (Rust),200,32.7 m,74.2 m,85.5 m,94.8 m
Numerical Two-Body,Orekit vs Basilisk,200,0.512 m,0.723 m,0.786 m,0.799 m
Numerical Two-Body,Orekit vs GMAT,200,15.7 m,24.5 m,26.7 m,27.1 m
Numerical Two-Body,Orekit vs Nyx,200,0.013 m,0.016 m,0.016 m,0.016 m
Numerical Two-Body,Orekit vs Brahe (Python),200,28 nm,87 nm,100 nm,117 nm
Numerical Two-Body,Orekit vs Brahe (Rust),200,31 nm,94 nm,111 nm,122 nm
RK4 + 5x5 Gravity,Orekit vs Basilisk,200,49.4 m,73.7 m,79.6 m,82.3 m
RK4 + 5x5 Gravity,Orekit vs GMAT,200,1.03 m,1.91 m,2.20 m,2.26 m
RK4 + 5x5 Gravity,Orekit vs Nyx,200,3.58 m,8.97 m,10.5 m,12.2 m
RK4 + 5x5 Gravity,Orekit vs Brahe (Python),200,71.9 µm,283.8 µm,428.1 µm,488.0 µm
RK4 + 5x5 Gravity,Orekit vs Brahe (Rust),200,71.9 µm,283.9 µm,428.2 µm,488.0 µm
RK4 + 20x20 + Sun/Moon,Orekit vs Basilisk,200,49.4 m,73.8 m,78.6 m,83.7 m
RK4 + 20x20 + Sun/Moon,Orekit vs GMAT,200,1.22 m,3.26 m,6.33 m,7.79 m
RK4 + 20x20 + Sun/Moon,Orekit vs Nyx,200,3.59 m,8.97 m,10.5 m,11.4 m
RK4 + 20x20 + Sun/Moon,Orekit vs Brahe (Python),200,71.8 µm,282.5 µm,427.6 µm,489.2 µm
RK4 + 20x20 + Sun/Moon,Orekit vs Brahe (Rust),200,71.8 µm,282.5 µm,427.6 µm,489.2 µm
RK4 + 80x80 + Drag + SRP,Orekit vs Basilisk,30,47.1 m,70.9 m,223.4 m,285.3 m
RK4 + 80x80 + Drag + SRP,Orekit vs GMAT,30,1.29 m,12.9 m,47.0 m,59.5 m
RK4 + 80x80 + Drag + SRP,Orekit vs Nyx,30,5.23 m,12.7 m,13.7 m,13.9 m
RK4 + 80x80 + Drag + SRP,Orekit vs Brahe (Python),30,2.01 m,12.6 m,43.8 m,55.4 m
RK4 + 80x80 + Drag + SRP,Orekit vs Brahe (Rust),30,2.01 m,12.6 m,43.8 m,55.4 m
