Task,Comparison,Samples,p50 Max Abs,p95 Max Abs,p99 Max Abs,Max Abs
Epoch Creation,Orekit vs GMAT,200,2.8 ns,5.6 ns,5.6 ns,6.1 ns
Epoch Creation,Orekit vs Brahe (Python),200,0 s,0 s,0 s,0 s
Epoch Creation,Orekit vs Brahe (Rust),200,0 s,0 s,0 s,0 s
UTC To GPS,Orekit vs GMAT,200,2.8 ns,5.6 ns,5.6 ns,6.1 ns
UTC To GPS,Orekit vs Brahe (Python),200,0 s,0 s,0 s,0 s
UTC To GPS,Orekit vs Brahe (Rust),200,0 s,0 s,0 s,0 s
UTC To TAI,Orekit vs GMAT,200,2.8 ns,5.6 ns,5.6 ns,6.1 ns
UTC To TAI,Orekit vs Brahe (Python),200,0 s,0 s,0 s,0 s
UTC To TAI,Orekit vs Brahe (Rust),200,0 s,0 s,0 s,0 s
UTC To TT,Orekit vs GMAT,200,2.8 ns,5.6 ns,5.6 ns,5.6 ns
UTC To TT,Orekit vs Brahe (Python),200,0 s,0 s,0 s,0 s
UTC To TT,Orekit vs Brahe (Rust),200,0 s,0 s,0 s,0 s
UTC To UT1,Orekit vs GMAT,200,3.3 ns,1.06 µs,1.06 µs,1.06 µs
UTC To UT1,Orekit vs Brahe (Python),200,0.5 ns,1.00 µs,1.00 µs,1.00 µs
UTC To UT1,Orekit vs Brahe (Rust),200,0.5 ns,1.00 µs,1.00 µs,1.00 µs
