Task,Comparison,Samples,p50 Max Abs,p95 Max Abs,p99 Max Abs,Max Abs
Cartesian To Keplerian,Orekit vs Basilisk,200,22.12 mm,50.56 mm,64.00 mm,70.68 mm
Cartesian To Keplerian,Orekit vs GMAT,200,22.12 mm,50.56 mm,64.00 mm,70.68 mm
Cartesian To Keplerian,Orekit vs Nyx,200,22.12 mm,50.56 mm,64.00 mm,70.68 mm
Cartesian To Keplerian,Orekit vs Brahe (Python),200,3.73 nm,11.36 nm,22.35 nm,29.80 nm
Cartesian To Keplerian,Orekit vs Brahe (Rust),200,3.73 nm,14.90 nm,22.35 nm,29.80 nm
Keplerian To Cartesian,Orekit vs Basilisk,200,1.28 µm,2.20 µm,2.80 µm,3.38 µm
Keplerian To Cartesian,Orekit vs GMAT,200,1.28 µm,2.20 µm,2.80 µm,3.38 µm
Keplerian To Cartesian,Orekit vs Nyx,200,1.37 µm,5.19 µm,12.44 µm,15.75 µm
Keplerian To Cartesian,Orekit vs Brahe (Python),200,3.73 nm,13.07 nm,22.39 nm,37.25 nm
Keplerian To Cartesian,Orekit vs Brahe (Rust),200,3.73 nm,18.63 nm,37.31 nm,44.70 nm
