Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
White Sands,2026-07-12 13:18:18,2026-07-12 13:29:40,11.4,35.2
North Pole,2026-07-12 13:28:43,2026-07-12 13:40:25,11.7,43.4
Gilmore Creek,2026-07-12 13:28:44,2026-07-12 13:40:25,11.7,44.2
Alaska Satellite Facility,2026-07-12 13:28:45,2026-07-12 13:40:25,11.7,43.2
Svalbard,2026-07-12 13:38:31,2026-07-12 13:46:28,7.9,11.8
Hartebeesthoek,2026-07-12 14:13:13,2026-07-12 14:15:43,2.5,5.6
Troll,2026-07-12 14:21:07,2026-07-12 14:33:00,11.9,46.1
McMurdo,2026-07-12 14:28:27,2026-07-12 14:34:53,6.4,8.9
South Point,2026-07-12 14:57:43,2026-07-12 15:05:47,8.1,12.9
North Pole,2026-07-12 15:07:10,2026-07-12 15:19:13,12.0,60.0
Alaska Satellite Facility,2026-07-12 15:07:11,2026-07-12 15:19:14,12.1,60.5
Gilmore Creek,2026-07-12 15:07:13,2026-07-12 15:19:15,12.0,59.3
Svalbard,2026-07-12 15:18:10,2026-07-12 15:28:16,10.1,19.8
Kiruna,2026-07-12 15:21:30,2026-07-12 15:30:59,9.5,16.8
Hartebeesthoek,2026-07-12 15:46:17,2026-07-12 15:58:25,12.1,85.4
Matjiesfontein,2026-07-12 15:48:46,2026-07-12 16:00:40,11.9,52.2
Troll,2026-07-12 15:59:25,2026-07-12 16:11:45,12.3,88.7
McMurdo,2026-07-12 16:08:21,2026-07-12 16:17:12,8.9,14.0
South Point,2026-07-12 16:34:14,2026-07-12 16:45:48,11.6,41.6
Alaska Satellite Facility,2026-07-12 16:48:06,2026-07-12 16:57:47,9.7,17.7
