Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X38,2026-06-11 22:25:01,2026-06-11 22:30:55,354.7,40.0
ICEYE-X78,2026-06-11 22:26:03,2026-06-11 22:35:05,541.4,40.0
ICEYE-X48,2026-06-11 22:30:08,2026-06-11 22:40:00,592.5,40.0
ICEYE-X82,2026-06-11 22:44:33,2026-06-11 22:54:15,581.5,40.0
ICEYE-X51,2026-06-11 22:46:56,2026-06-11 22:57:00,604.4,40.0
ICEYE-X73,2026-06-11 23:01:04,2026-06-11 23:06:55,351.1,40.0
ICEYE-X75,2026-06-11 23:03:14,2026-06-11 23:09:06,351.5,40.0
ICEYE-X46,2026-06-11 23:04:02,2026-06-11 23:15:25,682.7,40.0
ICEYE-X47,2026-06-11 23:07:13,2026-06-11 23:13:17,363.8,40.0
ICEYE-X36,2026-06-11 23:07:34,2026-06-11 23:08:02,27.9,40.0
