Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-08,2025-12-18 23:42:56,2025-12-19 04:26:26,4h 43m 30s,Awarua,Punta Arenas
UMBRA-08,2025-12-19 23:38:06,2025-12-20 04:20:51,4h 42m 45s,Awarua,Punta Arenas
UMBRA-08,2025-12-20 23:28:18,2025-12-21 04:10:08,4h 41m 50s,Awarua,Punta Arenas
UMBRA-08,2025-12-21 23:12:04,2025-12-22 03:52:56,4h 40m 52s,Awarua,Punta Arenas
UMBRA-08,2025-12-18 04:34:09,2025-12-18 08:33:20,3h 59m 11s,Punta Arenas,Hartebeesthoek
UMBRA-08,2025-12-19 04:32:28,2025-12-19 08:31:16,3h 58m 48s,Punta Arenas,Hartebeesthoek
UMBRA-08,2025-12-20 04:26:41,2025-12-20 08:25:09,3h 58m 28s,Punta Arenas,Hartebeesthoek
UMBRA-08,2025-12-23 04:58:25,2025-12-23 08:53:49,3h 55m 24s,Punta Arenas,Hartebeesthoek
UMBRA-08,2025-12-17 04:32:34,2025-12-17 08:07:46,3h 35m 12s,Punta Arenas,Svalbard
UMBRA-08,2025-12-22 05:24:32,2025-12-22 08:58:23,3h 33m 50s,Punta Arenas,Svalbard
