Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-05,2025-11-19 02:59:10,2025-11-19 08:04:54,5h 5m 43s,Punta Arenas,Athens
UMBRA-05,2025-11-18 22:17:37,2025-11-19 02:55:22,4h 37m 45s,Awarua,Punta Arenas
UMBRA-05,2025-11-18 03:30:08,2025-11-18 07:26:48,3h 56m 40s,Punta Arenas,Hartebeesthoek
UMBRA-08,2025-11-19 04:48:40,2025-11-19 08:26:29,3h 37m 49s,Punta Arenas,Svalbard
UMBRA-08,2025-11-22 04:53:32,2025-11-22 08:31:17,3h 37m 44s,Punta Arenas,Svalbard
UMBRA-08,2025-11-23 00:26:51,2025-11-23 03:46:14,3h 19m 22s,Awarua,Punta Arenas
UMBRA-08,2025-11-20 00:23:22,2025-11-20 03:42:39,3h 19m 17s,Awarua,Punta Arenas
UMBRA-08,2025-11-18 23:51:53,2025-11-19 03:10:29,3h 18m 36s,Awarua,Punta Arenas
UMBRA-08,2025-11-21 23:57:01,2025-11-22 03:15:30,3h 18m 28s,Awarua,Punta Arenas
UMBRA-05,2025-11-17 22:43:21,2025-11-18 01:58:23,3h 15m 2s,Awarua,Punta Arenas
