Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X50,2025-11-29 04:37:57,2025-11-29 04:41:04,187.2,37.4
ICEYE-X6,2025-11-29 04:53:42,2025-11-29 05:04:41,659.2,40.0
ICEYE-X4,2025-11-29 04:54:04,2025-11-29 05:00:38,394.4,40.0
ICEYE-X2,2025-11-29 05:10:19,2025-11-29 05:16:00,340.6,40.0
ICEYE-X46,2025-11-29 05:13:41,2025-11-29 05:19:55,374.2,40.0
ICEYE-X48,2025-11-29 05:17:31,2025-11-29 05:23:43,371.9,40.0
ICEYE-X51,2025-11-29 05:27:36,2025-11-29 05:33:41,365.5,40.0
ICEYE-X7,2025-11-29 05:45:10,2025-11-29 05:56:30,679.8,40.0
ICEYE-X21,2025-11-29 05:50:27,2025-11-29 05:52:27,119.6,36.9
ICEYE-X49,2025-11-29 06:11:11,2025-11-29 06:17:12,361.0,40.0
