Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Svalbard,2026-03-04 18:53:22,2026-03-04 19:05:31,12.1,68.4
Kiruna,2026-03-04 18:55:36,2026-03-04 19:07:25,11.8,50.7
Troll,2026-03-04 19:37:28,2026-03-04 19:46:13,8.8,13.7
McMurdo,2026-03-04 19:43:49,2026-03-04 19:55:54,12.1,48.4
Awarua,2026-03-04 19:52:03,2026-03-04 20:03:51,11.8,46.1
Svalbard,2026-03-04 20:32:18,2026-03-04 20:44:26,12.1,78.2
Kiruna,2026-03-04 20:34:13,2026-03-04 20:44:43,10.5,25.0
Santiago,2026-03-04 21:07:20,2026-03-04 21:16:41,9.4,17.3
McMurdo,2026-03-04 21:22:53,2026-03-04 21:35:15,12.4,83.5
Awarua,2026-03-04 21:32:58,2026-03-04 21:37:55,5.0,7.4
Dongara,2026-03-04 21:38:37,2026-03-04 21:49:02,10.4,22.7
Singapore,2026-03-04 21:49:27,2026-03-04 21:56:24,6.9,10.2
Svalbard,2026-03-04 22:10:58,2026-03-04 22:22:59,12.0,62.0
Kiruna,2026-03-04 22:12:09,2026-03-04 22:21:40,9.5,18.3
Wallops,2026-03-04 22:25:58,2026-03-04 22:36:25,10.5,23.3
Ponce de Leon,2026-03-04 22:29:25,2026-03-04 22:38:16,8.8,14.9
Merrit Island,2026-03-04 22:29:29,2026-03-04 22:38:29,9.0,15.4
Santiago,2026-03-04 22:44:24,2026-03-04 22:56:12,11.8,45.1
McMurdo,2026-03-04 23:01:42,2026-03-04 23:13:57,12.2,67.8
Dongara,2026-03-04 23:16:56,2026-03-04 23:27:55,11.0,29.5
